epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1973.8,0.31188,0.60981,0.96054,0.99574,1,0.995,0.98027,0.2635,0.6806,0.88088,0.00093575,0.00093575,0.00093575
45,2009.89,0.31019,0.52177,0.92921,0.99556,1,0.995,0.995,0.24846,0.61573,0.85726,0.000911,0.000911,0.000911
46,2044.81,0.30062,0.53675,0.9476,0.99515,1,0.995,0.98273,0.23982,0.63919,0.87012,0.00088625,0.00088625,0.00088625
47,2078.86,0.30463,0.52898,0.96114,0.99515,1,0.995,0.98273,0.23982,0.63919,0.87012,0.0008615,0.0008615,0.0008615
48,2116.02,0.35147,0.58811,0.97272,0.99533,1,0.995,0.98109,0.25236,0.7219,0.8891,0.00083675,0.00083675,0.00083675
49,2150.06,0.29588,0.58874,0.9467,0.99431,1,0.995,0.95088,0.27159,0.7367,0.91452,0.000812,0.000812,0.000812
50,2183.62,0.27723,0.52288,0.92651,0.99537,1,0.995,0.93085,0.28209,0.70254,0.94898,0.00078725,0.00078725,0.00078725
51,2218.25,0.29437,0.54107,0.9508,0.99537,1,0.995,0.93085,0.28209,0.70254,0.94898,0.0007625,0.0007625,0.0007625
52,2252.87,0.26947,0.4975,0.93928,0.99562,1,0.995,0.93591,0.26809,0.67207,0.92882,0.00073775,0.00073775,0.00073775
53,2288.76,0.27736,0.52246,0.9432,0.99566,1,0.995,0.94823,0.28688,0.60015,0.90775,0.000713,0.000713,0.000713
54,2328.73,0.30045,0.4996,0.92196,0.99566,1,0.995,0.94823,0.28688,0.60015,0.90775,0.00068825,0.00068825,0.00068825
55,2365.98,0.2665,0.48636,0.91064,0.99565,1,0.995,0.97777,0.2518,0.58949,0.86338,0.0006635,0.0006635,0.0006635
56,2404.74,0.26505,0.4929,0.90324,0.99568,1,0.995,0.995,0.21559,0.54128,0.84224,0.00063875,0.00063875,0.00063875
57,2440.83,0.24433,0.45395,0.90315,0.99568,1,0.995,0.995,0.21559,0.54128,0.84224,0.000614,0.000614,0.000614
58,2475.37,0.26049,0.47062,0.92896,0.99562,1,0.995,0.995,0.20083,0.56209,0.84071,0.00058925,0.00058925,0.00058925
59,2510.18,0.24815,0.47495,0.91045,0.99553,1,0.995,0.995,0.21563,0.60056,0.86757,0.0005645,0.0005645,0.0005645
60,2543.83,0.24041,0.46301,0.93309,0.99553,1,0.995,0.995,0.21563,0.60056,0.86757,0.00053975,0.00053975,0.00053975
61,2578.73,0.24762,0.44661,0.91164,0.9953,1,0.995,0.995,0.23569,0.61491,0.88367,0.000515,0.000515,0.000515
62,2613.79,0.23863,0.44028,0.90379,0.99552,1,0.995,0.995,0.28585,0.5765,0.91167,0.00049025,0.00049025,0.00049025
63,2650.53,0.25828,0.4499,0.93619,0.99552,1,0.995,0.995,0.28585,0.5765,0.91167,0.0004655,0.0004655,0.0004655
64,2685.64,0.24187,0.44702,0.92293,0.99559,1,0.995,0.96155,0.28052,0.55233,0.90442,0.00044075,0.00044075,0.00044075
65,2722.98,0.24161,0.44683,0.93444,0.99561,1,0.995,0.97336,0.24091,0.52617,0.86564,0.000416,0.000416,0.000416
66,2759.18,0.22113,0.43424,0.91167,0.99572,1,0.995,0.995,0.19599,0.52048,0.83026,0.00039125,0.00039125,0.00039125
67,2795.92,0.23819,0.42701,0.92898,0.99572,1,0.995,0.995,0.19599,0.52048,0.83026,0.0003665,0.0003665,0.0003665
68,2831.36,0.20403,0.44384,0.92015,0.99569,1,0.995,0.995,0.17305,0.54916,0.81561,0.00034175,0.00034175,0.00034175
69,2867.69,0.21648,0.40682,0.91054,0.99572,1,0.995,0.995,0.18587,0.49835,0.82404,0.000317,0.000317,0.000317
70,2905.26,0.21917,0.42955,0.94738,0.99572,1,0.995,0.995,0.18587,0.49835,0.82404,0.00029225,0.00029225,0.00029225
71,2941.34,0.19302,0.84354,0.87987,0.99566,1,0.995,0.995,0.20178,0.48793,0.83761,0.0002675,0.0002675,0.0002675
72,2977.5,0.2085,0.96512,0.86993,0.99567,1,0.995,0.98191,0.21977,0.53116,0.83667,0.00024275,0.00024275,0.00024275
73,3013.57,0.18869,0.71086,0.90541,0.99567,1,0.995,0.98191,0.21977,0.53116,0.83667,0.000218,0.000218,0.000218
74,3049.81,0.19899,0.68908,0.89014,0.99566,1,0.995,0.98273,0.21326,0.53088,0.82963,0.00019325,0.00019325,0.00019325
75,3084.57,0.18956,0.71028,0.94518,0.9956,1,0.995,0.98355,0.20512,0.53413,0.82597,0.0001685,0.0001685,0.0001685
76,3119.27,0.18705,0.64524,0.90151,0.9956,1,0.995,0.98355,0.20512,0.53413,0.82597,0.00014375,0.00014375,0.00014375
77,3155.3,0.18639,0.64948,0.91245,0.99559,1,0.995,0.995,0.19685,0.55035,0.82451,0.000119,0.000119,0.000119
78,3190.53,0.20306,0.66845,0.89377,0.99556,1,0.995,0.995,0.19145,0.54144,0.82175,9.425e-05,9.425e-05,9.425e-05
79,3224.67,0.18758,0.68231,0.90958,0.99556,1,0.995,0.995,0.19145,0.54144,0.82175,6.95e-05,6.95e-05,6.95e-05
80,3262.1,0.16207,0.62718,0.8797,0.99551,1,0.995,0.995,0.18956,0.5325,0.8203,4.475e-05,4.475e-05,4.475e-05
